item_id,review_id,Sentiment,cluster_k2,region,n_words,mean_rating,rating_A,rating_B
G086,bn_1246,1,1.0,A_organic,4.0,1.0,1,1.0
G087,bn_3212,1,,,,2.0,2,2.0
G088,bn_3346,1,,,,2.0,2,2.0
G089,bn_1003,1,0.0,A_organic,8.0,2.5,2,3.0
G090,bn_4854,2,,,,2.0,2,2.0
G091,bn_0453,1,0.0,A_organic,26.0,3.0,3,3.0
G092,bn_0139,1,0.0,A_organic,34.0,3.0,3,3.0
G093,bn_1575,0,1.0,A_organic,3.0,2.0,1,3.0
G094,bn_0196,1,1.0,A_organic,4.0,1.5,1,2.0
G095,bn_3902,0,,,,2.0,2,2.0
G096,bn_1295,1,0.0,A_organic,9.0,2.0,2,2.0
G097,bn_2386,2,,,,2.0,2,2.0
G098,bn_1104,1,0.0,A_organic,4.0,2.0,2,2.0
G099,bn_4604,2,,,,1.5,1,2.0
G100,bn_3779,0,,,,2.0,2,2.0
G101,bn_0459,1,0.0,A_organic,13.0,2.5,2,3.0
G102,bn_3518,1,,,,2.0,2,2.0
G103,bn_4534,2,,,,1.5,1,2.0
G104,bn_2890,2,,,,2.5,2,3.0
G105,bn_0383,1,0.0,A_organic,12.0,2.5,2,3.0
G106,bn_2380,2,,,,2.0,2,2.0
G107,bn_3901,0,,,,2.0,2,2.0
G108,bn_1673,0,1.0,A_organic,5.0,1.5,1,2.0
G109,bn_4018,0,,,,2.0,2,2.0
G110,bn_2797,2,,,,2.0,2,2.0
G111,bn_3006,1,,,,2.0,2,2.0
G112,bn_2488,2,,,,2.0,2,2.0
G113,bn_4125,0,,,,2.0,2,2.0
G114,bn_3307,1,,,,2.0,2,2.0
G115,bn_0633,0,1.0,A_organic,6.0,1.5,1,2.0
G116,bn_4653,2,,,,2.0,2,2.0
G117,bn_3677,0,,,,2.0,2,2.0
G118,bn_0535,0,0.0,A_organic,9.0,2.0,2,2.0
G119,bn_0805,0,1.0,A_organic,9.0,2.0,2,2.0
G120,bn_3277,1,,,,2.0,2,2.0
G121,bn_1701,0,0.0,A_organic,10.0,2.0,2,2.0
G122,bn_1169,1,0.0,A_organic,11.0,2.0,2,2.0
G123,bn_3746,0,,,,2.0,2,2.0
G124,bn_4478,2,,,,2.0,2,2.0
G125,bn_2940,2,,,,2.0,2,2.0
G126,bn_4931,2,,,,2.0,2,2.0
G127,bn_2213,2,,,,2.0,2,2.0
G128,bn_4591,2,,,,2.5,3,2.0
G129,bn_2252,2,,,,2.0,2,2.0
G130,bn_3358,1,,,,3.0,3,3.0
G131,bn_4538,2,,,,2.0,2,2.0
G132,bn_2087,2,,,,2.0,2,2.0
G133,bn_2322,2,,,,2.0,2,2.0
G134,bn_1013,1,1.0,A_organic,9.0,3.0,3,3.0
G135,bn_2724,2,,,,2.0,2,2.0
G136,bn_0824,0,0.0,A_organic,16.0,3.0,3,3.0
G137,bn_2417,2,,,,2.0,2,2.0
G138,bn_0930,0,1.0,A_organic,25.0,3.0,3,3.0
G139,bn_3888,0,,,,2.0,2,2.0
G140,bn_2651,2,,,,2.0,2,2.0
G141,bn_2884,2,,,,3.0,3,3.0
G142,bn_2409,2,,,,2.0,2,2.0
G143,bn_0695,0,0.0,A_organic,8.0,2.0,2,2.0
G144,bn_0366,1,0.0,A_organic,4.0,2.0,2,2.0
G145,bn_2751,2,,,,2.5,2,3.0
G146,bn_4951,2,,,,2.5,3,2.0
G147,bn_1477,1,0.0,A_organic,11.0,2.0,2,2.0
G148,bn_2848,2,,,,2.5,3,2.0
G149,bn_1411,1,0.0,A_organic,14.0,2.5,3,2.0
G150,bn_4285,0,,,,2.0,2,2.0
G151,bn_3159,1,,,,1.0,1,1.0
G152,bn_0154,1,0.0,A_organic,7.0,2.0,2,2.0
G153,bn_4994,2,,,,2.0,2,2.0
G154,bn_3284,1,,,,2.0,2,2.0
G155,bn_0894,0,1.0,A_organic,10.0,2.5,2,3.0
G156,bn_2660,2,,,,2.0,2,2.0
G157,bn_1364,1,0.0,A_organic,21.0,3.0,3,3.0
G158,bn_4320,0,,,,3.0,3,3.0
G159,bn_2876,2,,,,2.0,2,2.0
G160,bn_3748,0,,,,2.5,3,2.0
G161,bn_3517,1,,,,2.0,2,2.0
G162,bn_0585,0,0.0,A_organic,16.0,2.5,3,2.0
G163,bn_4480,2,,,,2.0,2,2.0
G164,bn_3787,0,,,,2.0,2,2.0
G165,bn_4088,0,,,,2.0,2,2.0
G166,bn_0300,1,0.0,A_organic,5.0,2.0,2,2.0
G167,bn_2553,2,,,,2.0,2,2.0
G168,bn_3363,1,,,,2.0,2,2.0
G169,bn_2579,2,,,,2.0,2,2.0
G170,bn_2227,2,,,,2.0,2,2.0
G171,bn_4054,0,,,,2.0,2,2.0
G172,bn_1798,0,1.0,A_organic,8.0,2.0,2,2.0
G173,bn_0275,1,0.0,A_organic,10.0,2.0,2,2.0
G174,bn_2419,2,,,,2.5,3,2.0
G175,bn_3678,0,,,,2.0,2,2.0
G176,bn_4782,2,,,,2.5,3,2.0
G177,bn_4482,2,,,,2.0,2,2.0
G178,bn_1216,1,0.0,A_organic,10.0,2.5,3,2.0
G179,bn_4935,2,,,,2.5,3,2.0
G180,bn_0978,0,1.0,A_organic,15.0,2.5,3,2.0
G181,bn_0179,1,0.0,A_organic,13.0,2.5,2,3.0
G182,bn_3702,0,,,,2.0,2,2.0
G183,bn_3810,0,,,,2.5,3,2.0
G184,bn_0878,0,1.0,A_organic,16.0,3.0,3,3.0
G185,bn_2410,2,,,,2.0,2,2.0
G186,bn_0669,0,1.0,A_organic,17.0,3.0,3,3.0
G187,bn_4193,0,,,,1.5,1,2.0
G188,bn_0097,1,0.0,A_organic,17.0,3.0,3,3.0
G189,bn_3161,1,,,,2.0,2,2.0
G190,bn_0749,0,0.0,A_organic,9.0,2.0,2,2.0
G191,bn_0982,0,1.0,A_organic,6.0,3.0,3,3.0
G192,bn_1433,1,1.0,A_organic,7.0,2.0,2,2.0
G193,bn_1444,1,0.0,A_organic,6.0,1.5,1,2.0
G194,bn_3424,1,,,,2.5,3,2.0
G195,bn_3991,0,,,,2.0,2,2.0
G196,bn_2075,2,,,,2.0,2,2.0
G197,bn_1070,1,0.0,A_organic,6.0,2.0,2,2.0
G198,bn_2211,2,,,,2.0,2,2.0
G199,bn_2268,2,,,,2.0,2,2.0
G200,bn_3556,1,,,,2.0,2,2.0
G201,bn_0481,1,0.0,A_organic,29.0,3.0,3,3.0
G202,bn_3928,0,,,,2.0,2,2.0
G203,bn_3501,1,,,,2.5,3,2.0
G204,bn_2451,2,,,,2.0,2,2.0
G205,bn_3272,1,,,,1.5,1,2.0
G206,bn_2962,2,,,,2.0,2,2.0
G207,bn_4680,2,,,,2.5,3,2.0
G208,bn_3828,0,,,,2.5,3,2.0
G209,bn_1940,0,0.0,A_organic,39.0,3.0,3,3.0
G210,bn_1811,0,1.0,A_organic,11.0,2.5,2,3.0
G211,bn_2181,2,,,,2.0,2,2.0
G212,bn_1758,0,0.0,A_organic,13.0,2.5,3,2.0
G213,bn_2555,2,,,,2.0,2,2.0
G214,bn_3264,1,,,,2.0,2,2.0
G215,bn_1237,1,0.0,A_organic,3.0,2.0,2,2.0
G216,bn_3571,1,,,,2.0,2,2.0
G217,bn_3617,1,,,,2.0,2,2.0
G218,bn_2851,2,,,,2.0,2,2.0
G219,bn_4322,0,,,,2.0,2,2.0
G220,bn_0826,0,0.0,A_organic,7.0,2.0,2,2.0
G221,bn_3861,0,,,,1.5,1,2.0
G222,bn_3206,1,,,,2.0,2,2.0
G223,bn_0797,0,1.0,A_organic,18.0,2.0,2,2.0
G224,bn_4737,2,,,,2.0,2,2.0
G225,bn_1346,1,0.0,A_organic,3.0,1.5,1,2.0
G226,bn_0449,1,0.0,A_organic,36.0,3.0,3,3.0
G227,bn_0189,1,0.0,A_organic,16.0,3.0,3,3.0
G228,bn_3451,1,,,,2.0,2,2.0
G229,bn_1732,0,0.0,A_organic,8.0,2.0,2,2.0
G230,bn_4896,2,,,,2.0,2,2.0
G231,bn_1937,0,0.0,A_organic,4.0,1.5,1,2.0
G232,bn_2267,2,,,,2.0,2,2.0
G233,bn_0229,1,0.0,A_organic,3.0,2.0,2,2.0
G234,bn_0335,1,1.0,A_organic,4.0,1.0,0,2.0
G235,bn_3576,1,,,,2.0,2,2.0
G236,bn_2145,2,,,,2.0,2,2.0
G237,bn_1730,0,1.0,A_organic,3.0,1.0,1,1.0
G238,bn_4753,2,,,,2.0,2,2.0
G239,bn_1372,1,0.0,A_organic,18.0,3.0,3,3.0
G240,bn_4105,0,,,,2.5,3,2.0
G241,bn_3120,1,,,,2.0,2,2.0
G242,bn_3019,1,,,,2.0,2,2.0
G243,bn_3470,1,,,,2.0,2,2.0
G244,bn_3983,0,,,,2.0,2,2.0
G245,bn_0625,0,1.0,A_organic,8.0,2.0,2,2.0
G246,bn_1254,1,1.0,A_organic,4.0,2.0,2,2.0
G247,bn_3183,1,,,,3.0,3,3.0
G248,bn_3032,1,,,,3.0,3,3.0
G249,bn_2325,2,,,,2.0,2,2.0
G250,bn_0214,1,0.0,A_organic,7.0,2.5,2,3.0
G251,bn_3066,1,,,,2.0,2,2.0
G252,bn_0722,0,1.0,A_organic,4.0,1.5,1,2.0
G253,bn_4501,2,,,,3.0,3,3.0
G254,bn_3580,1,,,,2.0,2,2.0
G255,bn_3698,0,,,,2.0,2,2.0
G256,bn_0130,1,0.0,A_organic,34.0,3.0,3,3.0
G257,bn_1333,1,1.0,A_organic,4.0,3.0,3,3.0
G258,bn_4543,2,,,,2.0,2,2.0
G259,bn_1210,1,0.0,A_organic,4.0,2.0,2,2.0
G260,bn_1816,0,0.0,A_organic,6.0,3.0,3,3.0
G261,bn_2788,2,,,,2.0,2,2.0
G262,bn_2071,2,,,,2.0,2,2.0
G263,bn_1699,0,1.0,A_organic,10.0,2.5,3,2.0
G264,bn_1369,1,0.0,A_organic,9.0,3.0,3,3.0
G265,bn_3281,1,,,,2.0,2,2.0
G266,bn_4814,2,,,,2.0,2,2.0
G267,bn_3404,1,,,,3.0,3,3.0
G268,bn_1349,1,0.0,A_organic,36.0,3.0,3,3.0
G269,bn_3616,1,,,,2.0,2,2.0
G270,bn_2269,2,,,,2.0,2,2.0
G271,bn_1785,0,1.0,A_organic,10.0,2.0,2,2.0
G272,bn_1770,0,1.0,A_organic,9.0,2.5,3,2.0
G273,bn_3030,1,,,,2.5,2,3.0
G274,bn_0962,0,1.0,A_organic,5.0,2.5,3,2.0
G275,bn_0760,0,1.0,A_organic,5.0,2.0,2,2.0
G276,bn_1625,0,1.0,A_organic,7.0,2.0,2,2.0
G277,bn_1043,1,1.0,A_organic,9.0,3.0,3,3.0
G278,bn_1005,1,0.0,A_organic,29.0,3.0,3,3.0
G279,bn_4682,2,,,,3.0,3,3.0
G280,bn_2084,2,,,,2.0,2,2.0
G281,bn_2873,2,,,,2.0,2,2.0
G282,bn_3635,1,,,,2.0,2,2.0
G283,bn_0362,1,1.0,A_organic,12.0,3.0,3,3.0
G284,bn_1864,0,1.0,A_organic,4.0,2.0,2,2.0
G285,bn_1125,1,0.0,A_organic,19.0,3.0,3,3.0
G286,bn_0184,1,0.0,A_organic,5.0,2.0,2,2.0
G287,bn_1834,0,0.0,A_organic,5.0,2.0,2,2.0
G288,bn_2495,2,,,,2.0,2,2.0
G289,bn_0936,0,1.0,A_organic,19.0,3.0,3,3.0
G290,bn_3621,1,,,,2.0,2,2.0
G291,bn_0048,1,0.0,A_organic,32.0,2.5,2,3.0
G292,bn_0688,0,0.0,A_organic,4.0,1.5,1,2.0
G293,bn_1980,0,1.0,A_organic,5.0,1.0,0,2.0
G294,bn_0274,1,0.0,A_organic,8.0,2.0,2,2.0
G295,bn_2704,2,,,,2.0,2,2.0
G296,bn_1177,1,0.0,A_organic,8.0,2.0,2,2.0
G297,bn_3440,1,,,,2.5,3,2.0
G298,bn_0472,1,0.0,A_organic,12.0,2.5,3,2.0
G299,bn_2154,2,,,,2.0,2,2.0
G300,bn_4836,2,,,,2.0,2,2.0
